0,72.8.180.58,106.211.78.227,112,0.000000000,0.0004,0,
65,106.211.78.227,96.17.182.65,492,33.656950000,5.5811,0,
66,106.211.78.227,173.194.36.90,1640,36.227651000,0.5122,1,'http://googleads.g.doubleclick.net/pagead/ads?client=ca-timesofindia_site_js&output=js&num_ads=2&channel=home&ad_type=text&adtest=off&ea=0&color_line=ff0000&feedback_link=on&flash=11.1.115&url=http%3A%2F%2Ftimesofindia.indiatimes.com%2F&adsafe=high&dt=1365678986018&shv=r20130404&cbv=r20130206&saldr=1&correlator=1365678987673&frm=23&adk=511001906&ga_vid=1041113552.1365678988&ga_sid=1365678988&ga_hid=1281254564&ga_fc=0&u_tz=330&u_his=2&u_java=0&u_h=1280&u_w=720&u_ah=1280&u_aw=720&u_cd=16&u_nplug=1&u_nmime=2&dff=sans-serif&dfs=16&biw=980&bih=1544&isw=670&ish=82&ifk=1011271187&oid=3&loc=http%3A%2F%2Ftimesofindia.indiatimes.com%2F&fu=4&ifi=1&dtd=2323'::36.227651000
67,106.211.78.227,173.194.36.90,1650,43.620590000,0.4488,1,'http://googleads.g.doubleclick.net/pagead/ads?client=ca-timesofindia_site_js&output=js&num_ads=1&skip=2&channel=home_right&ad_type=text&adtest=off&ea=0&color_line=ff0000&feedback_link=on&flash=11.1.115&url=http%3A%2F%2Ftimesofindia.indiatimes.com%2F&adsafe=high&dt=1365678992640&shv=r20130404&cbv=r20130206&saldr=1&correlator=1365678994210&frm=23&adk=511001906&ga_vid=890685021.1365678994&ga_sid=1365678994&ga_hid=143278448&ga_fc=0&u_tz=330&u_his=2&u_java=0&u_h=1280&u_w=720&u_ah=1280&u_aw=720&u_cd=16&u_nplug=1&u_nmime=2&dff=sans-serif&dfs=16&biw=980&bih=1544&isw=300&ish=85&ifk=2296946616&oid=3&loc=http%3A%2F%2Ftimesofindia.indiatimes.com%2F&fu=4&ifi=1&dtd=1616'::43.620590000
68,106.211.78.227,96.17.182.57,424,47.709575000,6.4921,0,
69,106.211.78.227,96.17.182.57,424,47.712510000,6.4449,0,
70,106.211.78.227,96.17.182.57,424,47.714999000,6.4252,0,
71,106.211.78.227,96.17.182.57,424,47.717450000,6.4120,0,
72,106.211.78.227,96.17.182.57,424,47.720441000,6.3891,0,
73,106.211.78.227,96.17.182.73,424,47.956044000,6.1415,0,
74,106.211.78.227,96.17.182.73,424,47.956326000,6.1310,0,
75,106.211.78.227,96.17.182.73,424,47.956523000,6.0930,0,
76,106.211.78.227,96.17.182.73,424,47.956705000,6.0705,0,
77,106.211.78.227,96.17.182.73,424,47.956882000,6.0665,0,
